payment_history_length,on_time_payment_percentage,average_invoice_size,wallet_age,transaction_count,default
23,83.95511595722448,41477.31388237389,227,449,1
9,89.45856193036691,39319.37629584891,653,62,0
30,74.92210994645286,35728.49018940584,597,367,1
19,54.34601440437118,2771.8586457133433,720,127,1
55,76.85532709092739,15853.289441321102,450,192,0
14,79.34205590104395,13892.5159256313,430,234,0
31,87.2719737092165,18646.683966104436,727,172,0
58,71.58297731148397,5294.494591428089,500,424,1
7,56.37901513977819,46910.93332852208,247,118,1
25,64.18879528993622,28136.309794906436,954,256,1
33,68.15411481993175,15970.691222243153,958,111,1
52,82.29586206658007,20452.094336639886,857,41,0
12,78.53891523344559,22912.92448473695,758,339,0
49,67.80483629489231,30429.122334670246,661,96,0
13,99.32576243964898,26268.29195712839,980,22,0
52,80.28874096784436,46050.20668750645,935,358,0
40,61.86133958679972,25351.21066238568,204,67,1
19,55.089123631020186,49615.74272634232,52,154,1
22,57.642956959216605,42719.82292950969,754,143,1
41,62.29788641922541,11217.015203509454,946,190,1
55,58.03406866297779,46599.1655175519,264,189,1
45,59.32835120256529,6701.953496388329,42,209,1
9,64.25475843469235,41055.035716068385,130,264,1
7,58.66867976473774,19650.541380352424,958,218,1
11,94.83827123132126,44020.74170180841,565,260,0
59,54.01168728308211,43534.777815265064,905,139,1
47,76.22556947851274,40490.344605763436,552,65,1
9,70.51984134948307,39711.491379046005,814,367,1
59,99.11893084543033,15929.277815803998,481,314,0
34,55.60194510840262,4965.044869511357,460,92,1
23,69.89277995228709,20746.02875949291,822,328,1
31,98.47352166376845,9502.701234338925,635,480,0
49,93.27535629469901,35052.60335622062,742,211,0
39,90.85360354746399,17958.886600351492,562,133,0
15,62.895141352246995,48804.89984213583,881,315,1
41,58.54437936950329,32407.63178992127,752,7,1
19,83.43216099622154,41301.547618083685,681,466,0
36,96.46879945637929,7493.708964350573,322,426,0
53,77.83814465069649,43238.709631358506,839,246,0
20,78.580634473495,46215.10233515632,942,125,1
13,63.998954683014205,24866.03402212786,130,389,1
19,88.47464665959684,30706.393949797894,531,106,1
28,59.35218742787617,38475.680244246774,333,42,1
45,66.18396182021218,9567.092735760214,900,345,1
26,71.27182193082083,25625.737746708677,569,500,1
21,75.38051893422275,20534.48836084334,582,417,1
50,62.12048662075401,8172.325615950206,384,137,1
23,55.74184123696018,19009.186692285042,332,206,1
52,80.53100212208163,4340.443159889184,525,352,0
58,64.43152766201278,2264.7834405248623,687,25,0
29,79.06191107113061,7623.1481685863155,797,246,1
31,57.718135763710116,48192.64046786952,256,459,1
30,74.05700509274087,27926.94725885583,265,455,1
50,76.62947162757929,48325.285896507776,902,113,1
46,52.591176841121346,22192.396038176466,921,307,1
34,66.83021390969603,16278.990521177719,484,88,1
20,56.72073384694871,25800.95127917196,42,87,1
50,53.168748523638385,22536.072743012595,239,295,1
6,99.49801161949726,6177.569528825452,770,456,0
30,66.11769224873615,32400.489419820104,426,73,1
12,90.49372229273175,11585.870942970381,129,133,0
14,62.732032738188195,31359.80978999365,60,200,1
29,84.07513611119646,32859.85352750952,927,144,1
6,88.01139299448432,8449.217803303756,557,448,0
49,79.78193703039221,4006.13172842274,678,287,0
13,73.57880942750792,39257.31771735355,358,316,1
29,70.59204570736343,23530.22076469669,195,238,1
16,67.44341332714977,3850.025979768314,488,27,1
56,96.4764572123913,49748.44954131859,851,157,0
22,91.53097038938645,3831.2474888219654,981,281,0
13,98.25134553332563,35056.72621406911,129,65,1
40,56.21486117427724,49200.267337907266,650,323,1
40,86.54337376018222,12719.825106580354,884,382,0
38,96.91702284105189,7970.2190656726125,202,56,0
10,59.061653308283006,6947.8620316990155,778,348,1
47,53.32481336833887,15860.482230812182,191,157,1
44,87.05603246450295,5951.244739521688,934,241,0
46,78.7236556589956,34915.90574301247,757,315,0
33,92.0914388379136,4052.298108373072,805,306,0
12,56.988618831314476,25961.684279339697,292,36,1
14,89.76336559299452,49838.14583879586,833,59,0
13,60.08136600238723,40884.54320579492,303,356,1
17,58.18279714328523,31145.752473319535,32,393,1
39,58.21328989654965,16006.427418543972,57,40,1
38,90.72873601156911,31570.895978290286,355,114,1
53,83.25986103481,26825.03173167093,969,494,0
60,76.15327123845597,21878.085810628203,178,181,1
28,67.94152420617513,7404.8084602697745,569,366,1
29,93.86002704065541,44443.60654678287,517,318,0
42,69.62225537113177,23039.447792244802,851,299,1
40,90.82997197357886,10536.503079217488,467,340,0
49,71.95674542851091,19020.208192987193,94,101,1
45,68.84722147124538,21292.357873917426,385,373,1
27,73.13398928348032,41549.35688277684,562,217,1
32,65.0688937082071,36947.1046475087,281,321,1
40,87.38046900881255,38695.93978842565,264,141,1
6,75.13601950462396,1540.5319570037136,256,10,1
40,61.61063475734086,21391.545910808312,554,113,1
42,94.97872866372842,24585.86343013086,342,39,1
52,69.19456106866056,1940.4215643297775,78,43,1
19,77.17764305569943,13730.847228506676,147,154,1
8,95.32360554822735,38254.201332984616,83,429,0
6,81.21189979569961,7718.375580720954,679,122,1
10,55.8449020354182,27230.19644117699,594,265,1
31,96.99160618067376,11544.891728844637,73,430,0
60,81.38540265357089,1593.9179575507703,844,91,0
19,66.7452807328543,12818.871422377533,82,469,1
44,56.96360363316936,48817.81399059264,615,80,1
32,89.7012594635148,40275.31848226649,587,475,0
14,81.00363779642568,48019.25557173064,554,468,1
20,76.67305459881608,24904.848152391758,706,455,0
20,94.69462915254789,6377.073735197671,131,418,0
31,89.42986056122655,27850.014959710956,821,317,1
47,57.58374398663756,23264.48939343808,799,387,1
18,65.5861033897774,42373.49705424118,878,218,1
56,62.424456990723286,5806.046458427985,897,461,1
37,87.19731462863385,24923.815714067132,427,289,0
44,51.67662173678897,8352.38457000523,167,243,1
54,78.49448424356582,16909.12041761294,704,169,0
57,88.12293428703452,37130.49679200218,950,91,0
37,93.83828183808748,24324.88833906956,416,145,0
9,67.10408743579538,19418.525972142696,140,164,1
35,91.06286523360063,20329.33764993173,643,50,0
42,55.53158684776036,23512.891651893344,46,376,1
28,92.3226145867259,39465.81064801579,809,499,0
44,56.37443311659912,44712.149758071486,211,116,1
50,69.86436452801837,47811.399638692485,913,411,0
20,89.86476828897767,39558.26592650946,565,49,0
48,57.49587136743869,16454.937891652626,570,405,1
34,61.462569761632075,34718.60059824056,200,251,1
41,86.1126284196533,22442.553078714205,438,108,0
18,86.00182682730372,13478.860480256508,769,89,1
37,82.05738164426486,42202.70739187021,407,454,0
12,84.697422223355,2882.891099153925,217,489,0
56,77.13622216737981,45186.337614635755,887,138,0
27,62.58995294534763,23612.395766611975,259,112,1
33,67.28479967519597,32222.87236360574,862,22,1
7,59.079885840071285,33308.34218808335,881,98,1
47,95.42252806668142,44860.76929462028,148,154,0
50,79.16958973830603,32196.81442619316,185,250,1
58,70.042570838182,31082.745653243026,813,293,0
11,73.10029018220663,4265.9499874738085,716,418,1
33,97.36416698059077,26401.993075315,494,213,0
33,57.66757015580401,8358.28104003504,133,130,1
49,79.31149160083986,37134.25466735279,633,239,0
49,75.2944339442233,26098.87411982105,727,420,1
25,80.57271177173239,34331.16118120931,824,430,0
35,50.90550919104203,3041.972129516829,531,466,1
16,93.60619544720757,5154.808786244358,722,126,0
60,96.60591412418063,36099.84601507143,711,142,0
33,78.25665917946044,4532.132463934995,728,499,0
30,84.8325411938446,4491.579660497671,204,119,1
44,96.12496905886479,1593.315286509485,763,424,0
38,85.36193171566993,47868.568516674524,774,166,0
6,57.62695214571307,37137.90961349134,703,205,1
32,78.81441800834065,18309.319016601145,450,238,0
57,80.3357523191428,15530.243483095106,163,32,0
18,71.2065335651193,18135.458257546627,420,15,1
46,86.82221178123615,38958.02302787791,765,210,0
8,96.71835073845074,33407.15994245031,530,171,0
44,96.27842564533881,10074.58282550593,694,251,0
11,72.5419685702066,9531.357431370134,62,51,1
13,55.661902292037766,5821.3868359564685,84,250,1
32,99.24205994811672,33354.83326536557,983,131,0
14,91.94490432229671,38454.26044886506,548,151,0
42,56.233134060163344,13987.274987925197,785,122,1
38,96.04209413086862,2026.3030905147277,854,403,0
56,93.49481810310641,5026.411706344939,667,386,0
47,75.94190285630361,48425.141707406496,41,416,1
49,79.56377178724647,15476.794096393593,557,156,1
29,69.95013519350651,38691.93424406855,749,76,1
20,52.73808194110157,31608.514873858923,584,367,1
59,66.75986208229504,19715.0423429919,402,141,1
37,90.14267242990057,11078.6758475822,513,179,0
37,50.23160115023014,6947.934489810915,676,293,1
29,66.6749585845572,31135.635433904463,257,450,1
46,69.90843467954717,38957.05525125161,652,485,1
57,76.86978014689615,32551.308423515402,336,23,1
54,95.99278082063802,26984.80452920876,486,199,0
54,67.31729971829806,3055.609948150177,189,334,1
57,67.34766009481139,48455.95010212481,360,428,1
17,86.87506240548743,40136.99539107415,805,179,1
44,72.61089704449036,15348.279798347272,254,494,0
7,61.2302411469991,49018.54613858368,758,453,1
8,72.62197580663467,30492.19789217978,533,417,1
54,57.04285101898999,29538.710252155077,485,438,1
42,58.819349325311165,37655.58579204707,74,358,1
54,74.91838863697399,40776.71961641674,243,145,1
22,70.9462724752274,33167.45175924363,88,250,1
54,95.742295053405,7276.691571943801,673,389,0
7,68.11969495583165,17575.10779373042,645,422,1
7,79.02941751390217,46476.098375976435,224,97,1
33,81.61321439597651,12006.164980348743,954,436,0
59,50.654722829416684,19236.18416803815,518,243,1
28,83.17686860083553,22171.767264265603,186,209,0
42,58.90179834348757,22530.844495028156,639,52,1
37,98.05351587347275,31034.03954223175,255,437,0
38,57.43313638765565,47210.71604949067,441,249,1
6,70.73120618635119,12793.942879792743,234,324,1
24,54.26748340393219,6953.567438744985,108,321,1
7,99.84371259229736,10676.05400313693,153,417,0
58,75.10975051656213,44459.32011025421,500,299,0
49,79.76925086600218,32644.729820105094,969,132,0
31,53.353823869421376,15009.432672718847,247,348,1
37,87.49802351995889,40981.400009462246,545,286,1
11,60.49527965477929,43207.12982180837,631,21,1
37,94.90271447203568,42479.202595823626,133,75,1
60,60.25698202410036,46027.400148338165,422,273,1
9,59.534386033183324,13359.809988494717,660,329,1
60,51.827483392404744,37997.054508567635,674,286,1
16,73.60334725549995,23566.43536643286,853,309,1
22,78.24205666313082,42257.92909161301,637,455,0
43,53.285431971417616,36696.04318091905,463,11,1
29,88.77638083475053,39045.924878486505,360,318,1
10,72.66444173740138,33151.93004637251,172,309,1
57,76.219513466379,9694.009704015636,829,107,0
39,72.03813734691141,27706.31902594998,569,313,1
11,70.0381530437663,49248.8172367009,307,197,1
27,77.9820165654109,46932.01525835883,262,245,1
16,57.76201229653562,3115.513054053572,558,66,1
53,59.09640652476355,9075.925970742419,600,21,1
21,93.08928105067587,7454.709899273534,119,175,0
38,97.30577310668164,36573.01558927948,521,29,1
14,68.66546581398765,41071.481162990305,228,255,1
11,63.53723365717769,11462.056949222924,391,257,1
21,82.19997716195078,25786.78195463962,470,391,0
34,70.43670855490481,42194.4483725488,55,211,1
8,51.26931778301724,36907.27569354628,54,33,1
25,57.80762986830952,27569.623069100566,423,121,1
41,85.79861144236988,29927.036832479873,536,495,1
24,82.94619709550757,25909.666798897717,330,420,1
31,51.354799625174174,15579.874114622207,368,286,1
8,61.098608096647474,28686.07765009179,296,384,1
24,61.55373982940357,34755.379800454444,490,148,1
25,83.59463717993643,43792.82287717958,722,29,1
37,50.98552688771821,32178.276344983155,485,314,1
12,55.205429099228695,38294.95531511474,389,160,1
57,89.99580426865947,8843.510112774076,97,77,0
46,58.927233102716684,23616.316246569706,892,124,1
38,82.63730539259373,1457.2493715275714,441,316,1
45,61.90913905233633,13087.264361559528,1000,325,1
44,54.97206963796726,36596.62404053724,520,97,1
23,62.1586095499727,49598.68761611881,862,90,1
45,86.11334659278296,5859.72687977358,78,340,0
6,92.78482340531428,20673.221477203126,716,429,0
16,91.51099322834958,40203.47746625882,593,368,0
33,69.85917648092274,10997.746096816043,131,439,1
30,83.40425682853231,28199.162515812026,245,122,1
55,60.24921477079105,36920.49350545406,467,237,1
28,64.65738651305067,31183.287062748772,729,203,1
36,94.81679092605599,10213.21199615539,598,210,0
35,50.6500961755368,18413.843865601233,588,417,1
47,54.2754265427234,39405.79743978447,188,343,1
40,60.394312757301364,28157.099192468813,518,151,1
12,51.32661019369099,1256.2510636027241,715,454,1
21,59.071771754489866,38288.5472413766,271,429,1
31,79.15207804848461,2730.2563920717143,823,433,0
53,71.0712275296249,37540.95535383037,782,275,1
57,94.63358555384875,10921.547448096633,911,391,0
54,90.87217808692205,47945.60052584963,34,143,0
7,67.0908675848938,19029.096813802138,625,185,1
6,62.971171671564626,17019.649200565877,849,434,1
53,68.98462040836334,8295.51446628979,390,34,1
17,79.51474712574039,15974.606559020529,488,61,1
10,63.403182041143815,43955.88732958183,277,236,1
42,81.2074453924567,49820.38254373512,595,150,0
37,70.47058260956203,19047.16699483557,702,439,1
60,77.602359042599,22981.920916772586,975,388,0
14,71.80632645676583,36381.47597193412,451,52,1
46,64.72328797709588,44423.59324278865,952,198,1
40,97.42266534810784,30059.172375152422,767,228,0
24,88.18028970798804,20184.759210713637,44,140,1
53,57.00565878832263,21218.470201582564,765,26,1
21,93.42339879489563,35085.28917834353,602,10,0
8,74.37155991247567,1157.6949166096554,151,208,1
25,94.72761134470457,31359.877535532192,306,243,0
29,89.99276279736577,18419.157511626512,587,189,0
59,71.26067522346167,39915.66923257713,482,364,1
38,51.12346541600587,5556.541351333476,419,296,1
29,63.4338679692473,29821.911080471134,323,339,1
57,77.08171073304334,24567.671604420062,603,224,0
16,81.67391099130737,32473.950769356143,627,120,1
54,62.894384271660115,4177.826129665449,475,317,1
13,56.96780370364121,29419.205583978433,239,53,1
41,91.74651183996495,28512.744810016662,619,177,0
43,99.22010903517761,28472.344626392376,743,86,0
45,76.28450911513428,30570.895663226285,331,326,1
25,58.583964292415175,34146.92892409175,938,337,1
40,63.61536632596845,40444.46098435772,252,49,1
53,50.919533827373336,14221.215286282502,763,339,1
30,95.71494032802495,41427.42109882304,32,24,1
40,55.88755414450706,25414.528430909228,547,452,1
30,78.82582377571268,4775.855677582227,122,225,1
34,63.7027610343603,3868.9955329549807,549,127,1
23,77.70890012578967,17377.67761610698,457,238,0
51,82.57101941759322,39459.95187846191,522,225,0
23,91.48709018536007,35676.36580230487,264,327,0
7,60.32106358803016,39642.13326894792,649,343,1
59,50.549791432924025,26346.18376563886,190,7,1
40,56.844281503440364,22569.75089981904,750,186,1
21,95.00093209240526,8225.173808607913,781,210,0
46,93.69450387812577,17081.444926856268,360,324,0
41,79.87065510851542,22266.948942519888,362,44,1
38,80.02584302168268,5341.421054301244,79,63,1
9,83.25183372731277,11809.985682849352,552,443,1
38,58.76856393117248,30313.0394091232,892,66,1
19,95.72059729624799,37047.4925977203,697,136,0
26,70.93852624460365,49919.02805825453,521,64,1
53,69.15692641247487,46722.553235834326,611,376,1
25,75.94588526414188,32485.694777224384,710,335,1
13,52.348298338752755,21641.15461140953,301,126,1
12,58.31416843780397,32172.6908707034,609,483,1
8,86.90168082131852,39496.929285931365,896,111,1
22,54.139933396256325,6798.473355245978,281,100,1
38,80.1576054733194,21085.339595118123,589,351,0
53,62.26745548406605,42150.31199614525,725,418,1
17,69.46478070209884,19807.814644719158,861,239,1
56,64.43468683853499,29021.74129013214,728,390,1
27,67.78363582324747,29800.698682247712,119,66,1
60,85.95229525921228,10039.336403548328,475,260,0
27,64.85608578115875,18749.53664096213,361,53,1
51,78.32023201484486,17391.053148354677,168,397,1
35,73.80252010995498,2283.638718071175,386,352,1
43,83.1835582681324,2185.396430676407,630,163,0
43,96.84148696623791,41753.155140112896,303,128,0
50,86.62860486051252,14380.469688667808,48,486,0
56,60.74701892953784,26385.859545701955,340,321,1
59,51.55915675306424,15637.55310584988,899,211,1
13,63.113202214991254,47093.283010651685,915,52,1
32,79.75389653501274,13705.541184422913,183,413,1
32,52.57129067421252,22053.18382420782,419,424,1
39,74.81831236006181,43763.78227374549,289,140,1
26,79.84214244584446,42254.74477279862,649,205,0
35,66.71219454084805,10118.969474467589,912,254,1
38,88.54561018729109,40329.52217998981,826,318,0
33,55.32991265668859,23451.15745015674,600,361,1
52,53.75688908679044,24665.474732182407,154,372,1
38,86.40943781018017,7540.518648381245,383,433,0
10,74.77456581030992,4949.4741740991085,302,322,1
53,84.4201198213868,36669.0260417145,648,299,0
24,71.74136693018731,25326.596465409686,840,484,1
9,62.32010166195534,22405.6844281438,274,318,1
40,90.95511588371,36745.90320396744,877,213,1
54,89.97079394844897,38510.132050564374,479,359,0
22,84.73482354272133,8786.500215798325,959,489,1
49,63.607256861498136,30901.032324404423,276,215,1
33,79.51153334345435,7632.350031606591,549,196,0
35,68.04869484700134,37817.379215423236,170,48,1
34,54.579103666331704,33190.80265708984,391,33,1
51,95.86567877311214,47874.11643308944,37,63,0
58,56.84093154594807,4378.942801464638,507,75,1
11,97.51186769104012,3795.6813364114614,381,96,0
40,72.30028864789779,14827.166659966808,524,269,1
46,59.25664644193098,13823.578503059392,635,387,1
42,77.0950473689179,13101.961154527991,862,224,0
29,93.64729179382041,45406.474445530795,456,394,0
34,86.61124432047805,13227.7637926258,68,417,0
54,90.32805739307248,14325.536580302918,622,446,0
51,82.93916833553587,38210.51485848022,216,405,0
58,84.61382822589263,23037.25228007646,625,404,0
36,92.45978257826596,39058.817290803876,629,219,0
40,62.483400442959294,4202.941720654877,783,483,1
38,74.47124818215703,24890.98848999583,883,391,1
57,61.06047209098011,2647.066408980849,122,281,1
26,99.38340039983234,4070.0069693123714,115,68,0
37,97.20296698433066,45415.43521387614,73,350,0
28,51.9713405684253,7823.023184762163,166,296,1
38,85.27875862578442,27088.61343148564,450,494,0
8,96.26241587078329,21143.68452743462,103,489,1
23,59.02876725636668,18019.82298668329,577,249,1
30,78.39726152763147,45091.83393867635,642,474,1
47,95.77441487940209,2069.3464419989855,541,66,0
36,51.69729892928994,33525.69462260386,185,430,1
59,84.871013362342,48206.32727646397,967,336,0
8,64.86745036862754,28448.240989630256,284,174,1
45,96.21980976882652,46904.3006396215,200,449,0
51,98.55291225826838,3560.6360850151646,757,273,0
29,97.2133244556717,21520.87263463391,199,271,0
55,73.71071083287319,13747.731757140507,793,58,0
37,93.10213254946567,36810.22728405576,901,20,0
52,92.22746992675351,49083.55743436509,351,12,0
27,65.95502366216279,13569.973059768143,596,108,1
28,91.44577370753387,33054.55547222965,485,63,0
7,51.85038173577463,10706.784005227266,973,317,1
32,79.81349392410266,28701.182474008885,632,44,1
47,61.50044186438515,23732.691847728474,819,241,1
7,56.02834428886394,48628.26115194531,642,447,1
31,53.84766008146046,30817.83636212686,184,390,1
22,84.81443879390699,18125.81223225412,918,98,0
45,66.9937481884033,6590.693459508735,378,226,1
38,86.23833857643808,8411.094608011794,480,208,0
14,53.26781703994712,12040.52956761052,905,142,1
48,65.76451689153052,13297.366405674602,682,304,1
59,76.97456461876686,42680.186834215754,202,399,0
53,89.53615824194819,28499.91662584372,39,211,0
44,65.9376251466035,26646.154657343955,769,340,1
34,81.29456882185045,6623.674721591656,294,85,1
47,94.29888741180935,43146.844974122316,467,222,0
60,80.79315940911523,36417.9008572157,789,6,0
31,61.64797373768169,4315.749733100078,276,182,1
40,51.220039077826904,35683.919764258666,696,400,1
55,93.50494369504649,27633.372649789657,575,375,0
30,51.063470542519354,5004.541941592135,528,350,1
29,93.73508363420997,23456.731434904166,158,283,0
18,76.4468567013606,24750.118069372304,701,150,1
12,96.95338492564481,9122.952468000512,630,322,0
41,89.93916178868326,47339.20920301383,634,228,0
50,99.89670552666686,42648.793202552435,356,373,0
25,67.53559077258551,33782.094529126305,782,388,1
6,88.35941444655634,23652.482489029753,864,66,0
13,70.0965456804621,21176.511537640916,433,298,1
51,73.99378101519544,32897.699890396754,658,243,1
21,81.37527316091851,27726.16160093837,635,199,1
19,93.68385570931693,4051.3821882123952,704,170,0
17,99.20417345996475,26112.629789746254,640,455,0
56,88.41367069322591,40513.77724440913,654,226,1
28,70.8883391083667,23502.754002250946,388,65,1
20,71.06785011385351,3545.872300159152,632,133,1
33,86.87911507944457,39527.63176981762,887,482,0
39,61.938857288415115,10866.825324662745,747,177,1
7,55.52370565656973,13672.4209095139,46,484,1
37,67.73110788203883,9070.611318182499,303,160,1
28,64.36194958270409,17180.53817870338,714,409,1
27,64.81540602279951,38080.82377874311,145,382,1
56,61.680387552495496,26449.90711569293,890,114,1
30,52.104659481818096,11039.182433384914,722,273,1
27,50.89369673667069,44013.67382945,120,415,1
27,99.38611948680158,44099.51089262493,111,360,0
54,71.38865668679311,43658.34282725434,353,395,1
57,69.21633235798409,12701.014357695425,990,282,0
47,83.9823641346535,23110.72786486842,143,78,0
11,60.912694393253204,49264.493150902876,798,491,1
20,97.49805919751127,38828.61133918953,87,441,1
59,89.3172507207776,2331.203640052431,183,467,0
48,54.47055011561297,4195.024971764111,906,211,1
42,70.87903878924642,23732.637463804305,433,392,1
38,93.95591537810824,45551.79008721645,657,484,0
13,97.2366011145705,27396.388099682998,884,283,0
58,73.37007556249348,25392.81289368022,295,379,1
49,80.67056946053539,6168.211297874898,344,330,0
49,58.35169730460376,33182.22513149041,744,476,1
10,99.55843130684883,41283.05486941105,70,344,0
44,61.58358506917217,19640.580367870552,134,361,1
9,97.13658870675629,39004.980695341044,930,344,0
11,82.48233244961843,48259.35604113977,919,208,1
50,80.38683974394296,10984.556497256766,222,165,1
37,75.63442555082543,26643.151928542324,430,32,1
57,61.53349058588793,15069.759946144202,307,396,1
35,58.82640160027542,39849.866532658125,383,261,1
52,61.02431045350877,29302.074928176717,778,169,1
40,59.32191310721272,32094.538459964882,966,67,1
60,88.97922367833766,40097.793821178806,762,26,0
45,67.5062629583365,20402.55316046029,609,74,1
57,52.89213382816982,45839.41335194512,738,385,1
21,98.45513150704056,27118.414495060857,285,409,0
18,94.18929424817128,8739.786318932052,680,100,0
55,96.38761415976064,35099.05679027132,853,167,0
47,99.74539113232177,39869.80617147447,976,83,0
35,58.69476246097437,16521.322176308808,690,9,1
24,69.81210094513294,43001.7835929389,128,320,1
22,87.91192378520456,45401.019483522556,617,124,1
24,84.8010309026896,14568.319881512638,311,306,1
33,57.69479531699275,49192.55216304588,912,182,1
60,90.79165624953089,7894.864874389163,432,180,0
31,61.22202859183304,10898.767751722009,138,394,1
42,61.19088074113115,10027.017122663281,729,221,1
31,76.84872114467068,44805.49579038565,228,60,1
58,79.64699674208515,33060.335063923136,332,370,1
28,79.00431039189056,8453.109877891371,356,191,1
14,54.574341869887746,22575.8475000491,183,236,1
17,93.87304313151901,31149.6032284203,581,259,0
58,63.2800021294353,5089.740164479781,674,417,1
6,56.47574606414021,44238.402051959594,434,459,1
6,94.43740399344887,40376.573236635224,491,108,0
52,97.78257491148767,25755.13190525527,161,81,0
39,93.10638086327253,48389.204147699355,820,234,0
37,90.4758037362439,21470.287984479884,903,406,0
59,82.7620990319511,49221.405632788395,113,262,0
53,77.54286853045696,33728.07994137773,428,268,0
30,54.34933799557051,32098.892389443132,783,335,1
45,70.42266065353493,9131.789869493465,657,485,1
50,68.6344258506157,44214.460156927555,138,186,1
58,62.98768918801631,21946.99470811014,250,385,1
6,86.17100568442925,8949.436883341488,933,260,1
21,74.79378675393855,1617.7684788121928,582,42,0
44,54.0523107953824,28428.028498280746,397,180,1
10,61.009160097490565,26842.58148401114,176,31,1
27,84.16293818297979,36248.32749608877,141,280,1
34,53.80654297451501,44622.644597872306,644,144,1
60,92.56034570243844,4890.922647508447,587,303,0
8,74.75732635069872,36843.32802667776,953,449,1
17,74.0293288663324,10183.185260781529,523,291,1
31,79.62038923297588,43050.675604701035,534,95,1
21,91.23404829625746,41134.11217922115,504,484,0
56,67.39046039510966,27498.893994291673,865,65,1
42,83.90080762795318,35801.89713254227,919,462,0
27,78.28659819978955,16403.15554600367,300,455,1
34,63.35141350847107,24087.22704770792,450,369,1
19,93.9314993177579,41260.20798781311,926,351,0
33,89.8713010803464,23503.994661487483,736,167,0
10,82.92259173292128,18532.115000946647,396,355,0
52,92.52908645471209,25216.409915264696,309,147,0
54,93.36471004799012,41584.2133694237,312,404,0
35,85.41814883575174,17425.194321172763,69,257,1
51,91.85066641818361,9514.318063651446,988,273,0
57,84.87357308346418,35888.68699620826,218,373,0
10,84.00703858801502,41472.93242269601,193,295,1
17,80.93056891075922,5931.236447653133,565,463,0
21,87.63583197788206,12753.83152504129,565,191,0
31,57.93025526465368,7956.627498288701,33,409,1
31,94.04353795994642,18049.129167526164,864,442,0
53,93.5921763872616,23067.19796636522,319,463,0
26,51.462364151727954,37692.49051120202,982,418,1
44,91.29083752823814,32906.231659202036,462,308,0
41,56.44349337367226,31425.499806443127,500,295,1
38,66.7559427129571,18266.372383873066,210,90,1
35,87.1754128145804,42230.93010115324,277,170,0
42,58.03799480241541,24093.071202510062,657,419,1
28,90.8983512059531,48976.14196274257,308,466,0
15,91.6067088978871,32072.964776491106,906,412,0
59,75.37338668804182,7186.972336660634,610,118,0
10,50.31929358584168,34132.700541696264,892,437,1
41,64.35190665874563,16930.096756153252,283,484,1
39,80.84634591878711,34630.03263761877,210,360,0
57,99.05930890137117,4412.416259957881,859,420,0
36,81.59067635083342,9569.19042162201,710,187,0
15,62.99017905320799,42931.12568638353,854,211,1
24,81.70028515498056,12131.79829415223,538,260,0
37,76.99926898579278,42015.01513690406,790,239,1
